temperature(),humidity,time(s),gas
18.17,49.0,8256.0,29463.0
18.17,49.0,8261.0,29278.0
18.16,49.0,8266.0,29442.0
18.17,49.0,8271.0,29401.0
18.15,49.0,8276.0,29421.0
18.17,49.0,8281.0,29319.0
18.16,49.0,8286.0,29566.0
18.16,49.0,8292.0,29525.0
18.16,49.0,8297.0,29442.0
18.15,49.0,8302.0,29587.0
18.16,49.0,8307.0,29442.0
18.16,49.0,8312.0,29504.0
18.15,49.0,8317.0,29587.0
18.17,49.0,8322.0,29197.0
18.15,49.0,8327.0,29463.0
18.16,49.0,8332.0,29319.0
18.16,49.0,8337.0,29442.0
18.16,49.0,8342.0,29421.0
18.15,49.0,8347.0,29691.0
18.15,49.0,8352.0,29525.0
18.14,49.0,8357.0,29463.0
18.15,49.0,8362.0,29483.0
18.15,49.0,8367.0,29401.0
18.15,49.0,8372.0,29421.0
18.15,49.0,8377.0,29401.0
18.14,49.0,8382.0,29360.0
18.13,49.0,8387.0,29587.0
18.14,49.0,8392.0,29483.0
18.15,49.0,8397.0,29319.0
18.15,49.0,8402.0,29504.0
18.15,49.0,8407.0,29278.0
18.13,49.0,8412.0,29608.0
18.12,49.0,8417.0,29691.0
18.13,49.0,8422.0,29629.0
18.13,49.0,8427.0,29504.0
18.12,49.0,8432.0,29691.0
18.12,49.0,8437.0,29608.0
18.12,49.0,8442.0,29691.0
18.12,49.0,8447.0,29566.0
18.13,49.0,8452.0,29463.0
18.12,49.0,8458.0,29360.0
18.12,49.0,8463.0,29587.0
18.12,49.0,8468.0,29712.0
18.12,49.0,8473.0,29754.0
18.11,49.0,8478.0,29504.0
18.1,49.0,8483.0,29608.0
18.1,49.0,8488.0,29483.0
18.1,49.0,8493.0,29566.0
18.11,49.0,8498.0,29504.0
18.1,49.0,8503.0,29608.0
18.02,49.0,9146.0,29401.0
18.0,49.0,9151.0,29924.0
18.01,49.0,9156.0,29839.0
18.01,49.0,9161.0,29839.0
17.99,49.0,9166.0,29860.0
17.98,49.0,9171.0,29924.0
17.98,49.0,9176.0,29818.0
17.99,49.0,9181.0,29754.0
17.99,49.0,9186.0,29796.0
18.0,49.0,9191.0,29608.0
17.99,49.0,9196.0,29881.0
18.0,49.0,9202.0,29733.0
18.0,49.0,9207.0,29649.0
18.0,49.0,9212.0,30073.0
17.99,49.0,9217.0,29775.0
17.99,49.0,9222.0,29649.0
17.98,49.0,9227.0,29818.0
17.99,50.0,9232.0,29733.0
17.98,50.0,9237.0,29860.0
17.98,49.0,9242.0,29670.0
17.99,49.0,9247.0,29525.0
18.0,49.0,9252.0,29608.0
18.0,49.0,9257.0,29775.0
18.0,49.0,9262.0,29712.0
17.99,49.0,9267.0,29988.0
18.0,49.0,9272.0,29629.0
18.0,49.0,9277.0,29860.0
17.99,49.0,9282.0,29924.0
17.98,49.0,9287.0,29881.0
17.98,50.0,9292.0,29966.0
17.97,50.0,9297.0,29988.0
17.98,49.0,9302.0,29566.0
17.97,50.0,9307.0,29818.0
17.97,49.0,9312.0,29860.0
17.98,49.0,9317.0,29902.0
17.99,49.0,9323.0,29629.0
17.99,49.0,9328.0,29775.0
17.99,49.0,9333.0,29691.0
17.99,49.0,9338.0,29525.0
17.99,49.0,9343.0,29545.0
17.98,49.0,9348.0,29587.0
17.99,49.0,9353.0,29712.0
17.98,49.0,9358.0,29881.0
17.97,49.0,9363.0,29754.0
17.98,49.0,9368.0,29733.0
17.98,49.0,9373.0,29587.0
17.98,49.0,9378.0,29629.0
17.98,49.0,9383.0,29566.0
17.96,49.0,9388.0,30073.0
17.96,49.0,9393.0,30203.0
17.97,50.0,9398.0,29966.0
17.96,49.0,9403.0,29818.0
17.97,50.0,9408.0,29733.0
17.97,49.0,9413.0,29691.0
17.97,49.0,9418.0,29796.0
17.96,50.0,9423.0,29966.0
17.96,50.0,9428.0,29691.0
17.96,49.0,9433.0,29860.0
17.96,49.0,9438.0,30030.0
17.96,50.0,9443.0,29733.0
17.95,50.0,9448.0,29839.0
17.96,49.0,9453.0,29298.0
17.95,49.0,9458.0,29860.0
17.96,49.0,9463.0,29629.0
17.96,49.0,9468.0,29839.0
17.96,49.0,9473.0,29860.0
17.96,49.0,9479.0,29775.0
17.97,49.0,9484.0,29712.0
17.96,49.0,9489.0,29924.0
17.97,49.0,9494.0,29649.0
17.95,49.0,9499.0,29839.0
17.95,50.0,9504.0,29818.0
17.95,49.0,9509.0,29924.0
17.95,50.0,9514.0,29945.0
17.96,49.0,9519.0,29860.0
17.97,49.0,9524.0,29860.0
17.97,49.0,9529.0,29796.0
17.96,49.0,9534.0,29796.0
17.96,49.0,9539.0,29860.0
17.95,49.0,9544.0,29775.0
17.95,49.0,9549.0,29902.0
17.95,49.0,9554.0,29649.0
17.95,49.0,9559.0,29881.0
17.94,50.0,9564.0,29504.0
17.94,50.0,9569.0,29754.0
17.93,50.0,9574.0,29902.0
17.93,50.0,9579.0,29966.0
17.93,50.0,9584.0,29818.0
17.93,50.0,9589.0,29924.0
17.94,50.0,9594.0,29587.0
17.94,50.0,9599.0,29775.0
17.93,50.0,9604.0,30073.0
17.93,50.0,9609.0,29442.0
17.94,50.0,9614.0,29691.0
17.94,50.0,9619.0,29988.0
17.93,50.0,9624.0,30181.0
17.92,50.0,9629.0,30203.0
17.92,50.0,9634.0,29881.0
17.94,50.0,9639.0,29733.0
17.94,50.0,9644.0,29649.0
